id,name,voltage_kv,cables,operator,capacity_mw,start_lon,start_lat,end_lon,end_lat,length_km
336075660,Line_336075660,132.0,unknown,unknown,300,9.2900305,45.553729,9.2896765,45.5532036,0.06
336075661,Line_336075661,132.0,unknown,unknown,300,9.2910739,45.5525383,9.2908702,45.552598,0.02
336075662,Line_336075662,132.0,unknown,unknown,300,9.2907618,45.5531873,9.2906028,45.5529201,0.03
336075663,Line_336075663,132.0,unknown,unknown,300,9.290746,45.5528742,9.2908822,45.5531511,0.03
336075664,Line_336075664,132.0,unknown,unknown,300,9.2911476,45.553071,9.290963,45.5527461,0.04
336075665,Line_336075665,132.0,unknown,unknown,300,9.2892082,45.5536556,9.2890122,45.5533369,0.04
336075666,Line_336075666,132.0,unknown,unknown,300,9.2904981,45.5532668,9.2903322,45.553018,0.03
336075667,Line_336075667,132.0,unknown,unknown,300,9.2901794,45.5542221,9.2891718,45.5533485,0.13
336075668,Line_336075668,132.0,unknown,unknown,300,9.2903669,45.5533064,9.2902213,45.5530506,0.03
336075669,Line_336075669,132.0,unknown,unknown,300,9.290963,45.5527461,9.290782,45.5524572,0.04
336075670,Line_336075670,132.0,unknown,unknown,300,9.288947,45.5537344,9.2887795,45.553462,0.03
336075671,Line_336075671,132.0,unknown,unknown,300,9.2888172,45.5537735,9.2886445,45.5535044,0.03
336075673,Line_336075673,132.0,unknown,unknown,300,9.289858,45.5534598,9.2896765,45.5532036,0.03
336075675,Line_336075675,132.0,unknown,unknown,300,9.2897225,45.5535006,9.2895039,45.553016,0.06
336075676,Line_336075676,132.0,unknown,unknown,300,9.2895963,45.5535386,9.2894319,45.5532711,0.03
336075677,Line_336075677,132.0,unknown,unknown,300,9.2912785,45.5530316,9.2911194,45.5527639,0.03
336075678,Line_336075678,132.0,unknown,unknown,300,9.2903627,45.5526272,9.2910112,45.5524336,0.05
336075679,Line_336075679,132.0,unknown,unknown,300,9.2901841,45.5532609,9.2899855,45.5534213,0.07
336075680,Line_336075680,132.0,3,unknown,300,9.2893297,45.5527848,9.2895039,45.553016,0.03
338449927,Line_338449927,380.0,6,Terna,1500,10.3013703,44.7637459,10.2986377,44.7756474,1.39
338449928,Line_338449928,380.0,3,unknown,1500,10.3013703,44.7637459,10.3028054,44.7596476,0.47
338452379,Line_338452379,380.0,3,unknown,1500,10.9654536,44.6138236,10.965096,44.6132764,0.07
338452380,Line_338452380,132.0,unknown,unknown,300,10.9653681,44.6146622,10.965196,44.6144166,0.03
338452381,Line_338452381,132.0,3,unknown,300,10.9666825,44.6133823,10.9672021,44.6141784,0.1
338452382,Line_338452382,132.0,unknown,unknown,300,10.9665863,44.6139423,10.9668397,44.6142989,0.04
338452383,Line_338452383,132.0,3,unknown,300,10.9659525,44.6136484,10.9662693,44.6141372,0.06
338452384,Line_338452384,132.0,unknown,unknown,300,10.967473,44.6140883,10.9672672,44.6140357,0.07
338452385,Line_338452385,132.0,3,Terna,300,10.9667619,44.6143248,10.9678119,44.6139713,0.09
338460091,Ravenna Canala-Enipower,380.0,6,unknown,1500,12.1399424,44.4295911,12.2321871,44.4535477,8.5
338670449,Line_338670449,132.0,6,unknown,300,9.0837514,45.4848228,9.094764,45.5064701,2.63
338760102,Castellaneta-Taranto Nord,380.0,3,unknown,1500,16.8516847,40.668292,17.3225054,40.5316699,47.64
338764736,Montecorvino-Santa Sofia,380.0,3,unknown,1500,14.3826666,41.0067553,14.9821627,40.6441858,71.16
338764818,Santa Maria Capua Vetere-Santa Sofia,380.0,3,unknown,1500,14.3811017,41.0067397,14.2310722,41.0342285,13.87
338764834,Patria-Santa Sofia,380.0,3,unknown,1500,14.3816215,41.0067497,14.0990151,40.925144,36.97
338764873,Benevento 2-Santa Sofia,380.0,3,unknown,1500,14.3837175,41.006776,14.7137787,41.1149141,32.12
338790578,Line_338790578,380.0,3,unknown,1500,14.9821627,40.6441858,14.9825582,40.6446281,0.06
338790579,Line_338790579,380.0,unknown,unknown,1500,14.9818214,40.6447762,14.9842289,40.643502,0.25
338790583,Montecorvino-Laino,380.0,3,unknown,1500,14.9825915,40.643961,16.0271469,39.9906016,120.74
338790584,Montecorvino-Laino,380.0,3,unknown,1500,14.9830212,40.6437357,16.0269362,39.9897228,121.01
338790586,Aliano - Matera,380.0,3,Terna S.p.A.,1500,16.2799146,40.5295095,16.684345,40.7303308,45.17
338792305,Maida-Magisano,380.0,3,unknown,1500,16.464941,38.8695774,16.6160209,38.9956853,20.18
338792750,Foggia-San Severo,380.0,3,unknown,1500,15.3876897,41.5873621,15.5386986,41.5020497,16.81
338795624,Line_338795624,380.0,3,unknown,1500,15.4715718,41.220636,15.4846216,41.4673346,31.04
338827798,Linea 619 Solignano Nuovo - Maranello,132.0,unknown,ENEL,300,10.923974,44.5381734,10.871037,44.5389251,4.21
338827802,Monteveglio,132.0,3,TERNA S.p.A.,300,11.1013689,44.49224,11.1012608,44.492057,0.02
338831949,Rubiera-San Damaso,380.0,3,Terna,1500,10.9485318,44.58228,10.7736626,44.6270142,15.27
338832436,Line_338832436,380.0,3,unknown,1500,11.1816358,44.5443571,11.1819742,44.5449312,0.07
338832437,Martignone,380.0,3,unknown,1500,11.1819742,44.5449312,11.1845225,44.5441388,0.22
338832438,Line_338832438,380.0,3,unknown,1500,11.1821401,44.5442048,11.1824744,44.5447757,0.07
338832439,Martignone,132.0,unknown,unknown,300,11.1809814,44.5438951,11.1821849,44.5435171,0.1
338832440,Line_338832440,380.0,3,unknown,1500,11.1836529,44.5437303,11.1840051,44.5442997,0.07
338832441,Martignone,132.0,unknown,unknown,300,11.181035,44.5439907,11.1822381,44.5436155,0.1
338832442,Line_338832442,380.0,3,unknown,1500,11.1841839,44.5435701,11.1845225,44.5441388,0.07
338832443,Line_338832443,132.0,3,unknown,300,11.1838482,44.5430078,11.1841839,44.5435701,0.07
338832444,Line_338832444,132.0,3,unknown,300,11.1817973,44.5436389,11.1821401,44.5442048,0.07
338832445,Martignone,380.0,3,unknown,1500,11.1844122,44.5439536,11.181867,44.5447494,0.22
338832446,Line_338832446,132.0,3,unknown,300,11.1833193,44.5431747,11.1836529,44.5437303,0.07
338834933,Colunga,132.0,3,unknown,300,11.4606614,44.4836856,11.4599768,44.4828053,0.11
338834935,Colunga,380.0,3,unknown,1500,11.4610363,44.4832761,11.4617795,44.4829832,0.07
338834937,Colunga,132.0,3,unknown,300,11.4610577,44.4843968,11.4617048,44.4841376,0.06
338834939,Colunga,380.0,3,unknown,1500,11.461047,44.4824724,11.4622862,44.4840301,0.2
338834940,Colunga,132.0,3,unknown,300,11.4605393,44.4837418,11.4598534,44.4828608,0.11
338834941,Colunga,132.0,3,unknown,300,11.4612938,44.4846979,11.4605941,44.4838122,0.11
338834942,Colunga,132.0,3,unknown,300,11.4614145,44.4846538,11.4607214,44.4837628,0.11
338834943,Line_338834943,132.0,3,unknown,300,11.4602625,44.4831726,11.4598025,44.4833679,0.04
338834944,Colunga,380.0,3,unknown,1500,11.4625329,44.4839344,11.4612991,44.4823729,0.2
338834945,Colunga,380.0,3,unknown,1500,11.4614405,44.4838146,11.4621823,44.4834963,0.07
338834946,Line_338834946,132.0,3,unknown,300,11.4607594,44.4838115,11.4606336,44.4836498,0.08
338834947,Colunga,380.0,3,unknown,1500,11.4607651,44.4829404,11.461519,44.4826519,0.07
338834948,Colunga,132.0,3,unknown,300,11.4602024,44.4830954,11.4600202,44.4830735,0.06
338834949,Colunga,132.0,3,unknown,300,11.4614405,44.4838146,11.4608126,44.4840884,0.06
