id,name,type,source,carrier,capacity_mw,output_raw,operator,lat,lon
1030939997,"Centrale Idroelettrica ""Carcente"" Torrente Greno",plant,hydro,hydro,48.0,"48,91 kW",Greno Power,46.061112499999986,9.238830700000047
1050199255,generator_1050199255,generator,unknown,other,6.0,6 MW,unknown,45.35236859999992,9.671610599999994
1117585416,Centrale idroelettrica Albini,plant,hydro,hydro,6.0,"6,3 MW",unknown,45.96664919999966,9.926183200000088
1149885801,generator_1149885801,generator,solar,solar,0.004,4 kW,unknown,45.71575849999978,8.641169400000027
1191662951,Centrale Edison di Sonico Adolfo Covi,plant,hydro,hydro,60.0,60 MW,Edison S.p.A.,46.170914400000015,10.347678500000013
1209265369,plant_1209265369,plant,gas,CCGT,88.0,88 MW,unknown,45.4664722999999,8.845971100000003
1300101532,Microcentrale idroelettrica Enel Torrente Marianna,plant,hydro,hydro,0.8,0.8,Enel,45.90949739999989,8.718618199999954
1301279732,Centrale Idroelettrica - Braone,plant,hydro,hydro,0.9,0.9MW,Enel Green Power,45.99112730000015,10.342230999999975
1378405471,Serre Tavazzano BESS,plant,battery,other,50.0,50 MW,Enel Green Power,45.33391489999988,9.426411199999965
1378407423,La Casella BESS,plant,battery,other,70.0,70 MW,Enel Green Power,45.0905661999999,9.486317999999967
1380222755,Centrale Idroelettrica A2A di San Pietro Sovera,generator,hydro,hydro,0.003,3 kW,A2A,46.04627280000019,9.143435800000011
1452583396,generator_1452583396,generator,solar,solar,1.0,1 MW,unknown,45.623159800000025,9.884317800000122
1452583397,generator_1452583397,generator,solar,solar,4.2,4.2 MW,unknown,45.62254410000003,9.882228200000121
1461927694,generator_1461927694,generator,hydro,hydro,0.002,2 kW,IdroFerrera,45.93568500000022,8.78823159999999
1461927722,plant_1461927722,plant,hydro,hydro,2.0,2 MW,Enel,45.93491980000022,8.786634399999974
1461927727,Bacino Idrico IdroFerrera,plant,hydro,hydro,2.0,2 MW,Enel,45.93529480000022,8.78704989999999
1461935044,Centrale Idroelettrica di Ferrera di Varese,plant,hydro,hydro,2.0,2 MW,Enel,45.932814700000264,8.790759799999982
1461935049,plant_1461935049,plant,hydro,hydro,2.0,2 MW,Enel,45.93372430000027,8.790389799999993
1461935062,Idroferrera SRL,plant,hydro,hydro,2.0,2 MW,Enel,45.935298200000275,8.781147699999991
