time,CALA,CNOR,CSUD,NORD,SARD,SICI,SUD
2013-10-20 00:00:00,1087.1417974422418,3316.8211527059475,4403.9629501481895,14174.390187033561,1024.8215670156164,2257.377235453317,2915.2018899565846
2013-10-20 01:00:00,1050.2020431518488,3204.119609361373,4254.321652513222,13692.761670903406,989.9993782577939,2180.6743061624375,2816.14688004413
2013-10-20 02:00:00,1046.2297272798376,3192.0002507454915,4238.229978025329,13640.969756317372,986.2547747606112,2172.4260579186434,2805.495001177144
2013-10-20 03:00:00,1046.2297272798376,3192.0002507454915,4238.229978025329,13640.969756317372,986.2547747606112,2172.4260579186434,2805.495001177144
2013-10-20 04:00:00,1043.923998323637,3184.9655745033256,4228.889572826963,13610.907162856593,984.0812213496706,2167.6383659458957,2799.3121228933196
2013-10-20 05:00:00,1041.9166037463906,3178.841103149816,4220.757706896206,13584.734317636063,982.1889003469161,2163.4701453587472,2793.9292367976464
2013-10-20 06:00:00,1077.0895035322683,3286.152052178067,4363.241555710335,14043.326202105436,1015.3455192533485,2236.50431943643,2888.246375713917
2013-10-20 07:00:00,1152.4618756430034,3516.109798936297,4668.5716745793,15026.04751236451,1086.3971821348057,2393.010009296937,3090.3595518834677
2013-10-20 08:00:00,1253.5881226109314,3824.6414696218853,5078.229592232817,16344.553420283924,1181.7263830982026,2602.9918979055,3361.5324816509683
2013-10-20 09:00:00,1277.550714442423,3897.7502689039525,5175.300983346375,16656.98288193401,1204.3153231686533,2652.7486172498716,3425.788858472994
2013-10-20 10:00:00,1277.2082895618146,3896.705545860568,5173.913835422382,16652.518272184934,1203.9925277397997,2652.037594886315,3424.870636340917
2013-10-20 11:00:00,1269.5642052335086,3873.3837853939526,5142.947990627461,16552.85304530568,1196.786639328403,2636.1651650071576,3404.372805116606
2013-10-20 12:00:00,1260.0281447068035,3844.289689901648,5104.317834608451,16428.519823024373,1187.7972319529101,2616.3641730854642,3378.8015854876703
2013-10-20 13:00:00,1258.6682336162053,3840.140661797212,5098.808895413417,16410.789007722116,1186.5152775490342,2613.540408655305,3375.154944919888
2013-10-20 14:00:00,1258.6682336162053,3840.140661797212,5098.808895413417,16410.789007722116,1186.5152775490342,2613.540408655305,3375.154944919888
2013-10-20 15:00:00,1261.877562505922,3849.9321811486407,5111.809743654562,16452.63293280014,1189.5406321711876,2620.204365458156,3383.7608523247973
2013-10-20 16:00:00,1266.6005234244367,3864.3417243331537,5130.942247757591,16514.21192006256,1193.9928501071124,2630.011277938639,3396.4256073992856
2013-10-20 17:00:00,1269.3324321910286,3872.6766561751765,5142.009088366205,16549.83113818494,1196.5681526386768,2635.683903785193,3403.7512990600194
2013-10-20 18:00:00,1280.9642385318857,3908.1647787055617,5189.129017237447,16701.489148246943,1207.5331675332425,2659.8365717286288,3434.942321158751
2013-10-20 19:00:00,1280.5555076651992,3906.9177590549702,5187.47326672017,16696.16002669212,1207.1478670984043,2658.9878694194576,3433.846297624515
2013-10-20 20:00:00,1280.9002306993684,3907.9694936624037,5188.869724361772,16700.654600265014,1207.472828939532,2659.7036637451847,3434.770682321236
2013-10-20 21:00:00,1238.3717074155054,3778.216865299535,5016.58857271504,16146.158503691333,1167.3822464808586,2571.3960294105395,3320.729228165145
2013-10-20 22:00:00,1249.0313948000048,3810.7390962369573,5059.770491036962,16285.14181627777,1177.430868983444,2593.530157355424,3349.313485419121
2013-10-20 23:00:00,1179.0147418882823,3597.1214099648864,4776.1361518531685,15372.2495327727,1111.4279095507375,2448.145260226624,3161.5618237895974
2013-10-21 00:00:00,1129.4622952704235,3445.939104678553,4575.401399948976,14726.174002665968,1064.7160490447304,2345.252918841771,3028.6855178907535
2013-10-21 01:00:00,1113.3785398976677,3396.868284146387,4510.246824044054,14516.470517009717,1049.5542923876103,2311.8560764754116,2985.5564668593506
2013-10-21 02:00:00,1113.3785398976677,3396.868284146387,4510.246824044054,14516.470517009717,1049.5542923876103,2311.8560764754116,2985.5564668593506
2013-10-21 03:00:00,1115.8482889246936,3404.4033783116447,4520.251667236338,14548.67163967419,1051.8824634449343,2316.984345155733,2992.179169664306
