technology,year,parameter,value,unit,source,further description,currency_year
hydrogen storage underground,2030,lifetime,40.0,years,http://www.acatech.de/fileadmin/user_upload/Baumstruktur_nach_Website/Acatech/root/de/Publikationen/Materialien/ESYS_Technologiesteckbrief_Energiespeicher.pdf,,
H2 pipeline,2030,investment,267.0,EUR/MW/km,Welder et al https://doi.org/10.1016/j.ijhydene.2018.12.156,,2013.0
H2 pipeline,2030,lifetime,40.0,years,Krieg2012 http://juser.fz-juelich.de/record/136392/files/Energie%26Umwelt_144.pdf,,
H2 pipeline,2030,FOM,5.0,%/year,Krieg2012 http://juser.fz-juelich.de/record/136392/files/Energie%26Umwelt_144.pdf,,2013.0
H2 pipeline,2030,efficiency,0.98,per unit,Krieg2012 http://juser.fz-juelich.de/record/136392/files/Energie%26Umwelt_144.pdf,,
methanation,2030,investment,1000.0,EUR/kWH2,Schaber thesis,,2013.0
methanation,2030,lifetime,25.0,years,Schaber thesis,,
methanation,2030,FOM,3.0,%/year,Schaber thesis,,2013.0
methanation,2030,efficiency,0.6,per unit,Palzer, Breyer for DAC,
helmeth,2030,investment,1000.0,EUR/kW,no source,,2013.0
helmeth,2030,lifetime,25.0,years,no source,,
helmeth,2030,FOM,3.0,%/year,no source,,2013.0
helmeth,2030,efficiency,0.8,per unit,HELMETH press release,,
DAC,2030,investment,250.0,EUR/(tCO2/a),Fasihi/Climeworks,,2013.0
DAC,2030,lifetime,30.0,years,Fasihi,,
DAC,2030,FOM,4.0,%/year,Fasihi,,2013.0
battery inverter,2030,investment,411.0,USD/kWel,budischak2013,,2013.0
battery inverter,2030,lifetime,20.0,years,budischak2013,,
battery inverter,2030,efficiency,0.9,per unit charge/discharge,budischak2013, Lund and Kempton (2008) http://dx.doi.org/10.1016/j.enpol.2008.06.007,
battery inverter,2030,FOM,3.0,%/year,budischak2013,,2013.0
battery storage,2030,investment,192.0,USD/kWh,budischak2013,,2013.0
battery storage,2030,lifetime,15.0,years,budischak2013,,
decentral air-sourced heat pump,2030,investment,1050.0,EUR/kWth,HP, Palzer thesis,2013.0
decentral air-sourced heat pump,2030,lifetime,20.0,years,HP, Palzer thesis,
decentral air-sourced heat pump,2030,FOM,3.5,%/year,Palzer thesis,,2013.0
decentral air-sourced heat pump,2030,efficiency,3.0,per unit,default for costs,,
decentral air-sourced heat pump,2030,discount rate,0.04,per unit,Palzer thesis,,
decentral ground-sourced heat pump,2030,investment,1400.0,EUR/kWth,Palzer thesis,,2013.0
decentral ground-sourced heat pump,2030,lifetime,20.0,years,Palzer thesis,,
decentral ground-sourced heat pump,2030,FOM,3.5,%/year,Palzer thesis,,2013.0
decentral ground-sourced heat pump,2030,efficiency,4.0,per unit,default for costs,,
decentral ground-sourced heat pump,2030,discount rate,0.04,per unit,Palzer thesis,,
central air-sourced heat pump,2030,investment,700.0,EUR/kWth,Palzer thesis,,2013.0
central air-sourced heat pump,2030,lifetime,20.0,years,Palzer thesis,,
central air-sourced heat pump,2030,FOM,3.5,%/year,Palzer thesis,,2013.0
central air-sourced heat pump,2030,efficiency,3.0,per unit,default for costs,,
retrofitting I,2030,discount rate,0.04,per unit,Palzer thesis,,
retrofitting I,2030,lifetime,50.0,years,Palzer thesis,,
retrofitting I,2030,FOM,1.0,%/year,Palzer thesis,,2013.0
retrofitting I,2030,investment,50.0,EUR/m2/fraction reduction,Palzer thesis,,2013.0
retrofitting II,2030,discount rate,0.04,per unit,Palzer thesis,,
retrofitting II,2030,lifetime,50.0,years,Palzer thesis,,
retrofitting II,2030,FOM,1.0,%/year,Palzer thesis,,2013.0
retrofitting II,2030,investment,250.0,EUR/m2/fraction reduction,Palzer thesis,,2013.0
water tank charger,2030,efficiency,0.9,per unit,HP,,
water tank discharger,2030,efficiency,0.9,per unit,HP,,
decentral water tank storage,2030,investment,860.0,EUR/m3,IWES Interaktion,,2013.0
decentral water tank storage,2030,FOM,1.0,%/year,HP,,2013.0
decentral water tank storage,2030,lifetime,20.0,years,HP,,
decentral water tank storage,2030,discount rate,0.04,per unit,Palzer thesis,,
central water tank storage,2030,investment,30.0,EUR/m3,IWES Interaktion,,2013.0
central water tank storage,2030,FOM,1.0,%/year,HP,,2013.0
central water tank storage,2030,lifetime,40.0,years,HP,,
decentral resistive heater,2030,investment,100.0,EUR/kWhth,Schaber thesis,,2013.0
decentral resistive heater,2030,lifetime,20.0,years,Schaber thesis,,
decentral resistive heater,2030,FOM,2.0,%/year,Schaber thesis,,2013.0
decentral resistive heater,2030,efficiency,0.9,per unit,Schaber thesis,,
decentral resistive heater,2030,discount rate,0.04,per unit,Palzer thesis,,
central resistive heater,2030,investment,100.0,EUR/kWhth,Schaber thesis,,2013.0
central resistive heater,2030,lifetime,20.0,years,Schaber thesis,,
central resistive heater,2030,FOM,2.0,%/year,Schaber thesis,,2013.0
central resistive heater,2030,efficiency,0.9,per unit,Schaber thesis,,
decentral gas boiler,2030,investment,175.0,EUR/kWhth,Palzer thesis,,2013.0
decentral gas boiler,2030,lifetime,20.0,years,Palzer thesis,,
decentral gas boiler,2030,FOM,2.0,%/year,Palzer thesis,,2013.0
decentral gas boiler,2030,efficiency,0.9,per unit,Palzer thesis,,
decentral gas boiler,2030,discount rate,0.04,per unit,Palzer thesis,,
central gas boiler,2030,investment,63.0,EUR/kWhth,Palzer thesis,,2013.0
central gas boiler,2030,lifetime,22.0,years,Palzer thesis,,
central gas boiler,2030,FOM,1.0,%/year,Palzer thesis,,2013.0
central gas boiler,2030,efficiency,0.9,per unit,Palzer thesis,,
decentral CHP,2030,lifetime,25.0,years,HP,,
decentral CHP,2030,investment,1400.0,EUR/kWel,HP,,2013.0
decentral CHP,2030,FOM,3.0,%/year,HP,,2013.0
decentral CHP,2030,discount rate,0.04,per unit,Palzer thesis,,
central CHP,2030,lifetime,25.0,years,HP,,
central CHP,2030,investment,650.0,EUR/kWel,HP,,2013.0
central CHP,2030,FOM,3.0,%/year,HP,,2013.0
decentral solar thermal,2030,discount rate,0.04,per unit,Palzer thesis,,
decentral solar thermal,2030,FOM,1.3,%/year,HP,,2013.0
decentral solar thermal,2030,investment,270000.0,EUR/1000m2,HP,,2013.0
decentral solar thermal,2030,lifetime,20.0,years,HP,,
central solar thermal,2030,FOM,1.4,%/year,HP,,2013.0
central solar thermal,2030,investment,140000.0,EUR/1000m2,HP,,2013.0
central solar thermal,2030,lifetime,20.0,years,HP,,
HVAC overhead,2030,investment,400.0,EUR/MW/km,Hagspiel,,2013.0
HVAC overhead,2030,lifetime,40.0,years,Hagspiel,,
HVAC overhead,2030,FOM,2.0,%/year,Hagspiel,,2013.0
HVDC overhead,2030,investment,400.0,EUR/MW/km,Hagspiel,,2013.0
HVDC overhead,2030,lifetime,40.0,years,Hagspiel,,
HVDC overhead,2030,FOM,2.0,%/year,Hagspiel,,2013.0
HVDC submarine,2030,investment,2000.0,EUR/MW/km,DTU report based on Fig 34 of https://ec.europa.eu/energy/sites/ener/files/documents/2014_nsog_report.pdf,,2013.0
HVDC submarine,2030,lifetime,40.0,years,Hagspiel,,
HVDC submarine,2030,FOM,2.0,%/year,Hagspiel,,2013.0
HVDC inverter pair,2030,investment,150000.0,EUR/MW,Hagspiel,,2013.0
HVDC inverter pair,2030,lifetime,40.0,years,Hagspiel,,
HVDC inverter pair,2030,FOM,2.0,%/year,Hagspiel,,2013.0
csp-tower,2030,FOM,1.1,%/year,ATB CSP data (https://atb.nrel.gov/electricity/2021/concentrating_solar_power),,2013.0
csp-tower,2030,investment,108.37,"EUR/kW_th,dp",ATB CSP data (https://atb.nrel.gov/electricity/2021/concentrating_solar_power) and NREL SAM v2021.12.2 (https://sam.nrel.gov/).,,2013.0
csp-tower,2030,lifetime,30.0,years,ATB CSP data (https://atb.nrel.gov/electricity/2021/concentrating_solar_power),,
csp-tower TES,2030,FOM,1.1,%/year,see solar-tower.,,2013.0
csp-tower TES,2030,investment,14.52,EUR/kWh_th,ATB CSP data (https://atb.nrel.gov/electricity/2021/concentrating_solar_power) and NREL SAM v2021.12.2 (https://sam.nrel.gov/).,,2013.0
csp-tower TES,2030,lifetime,30.0,years,see solar-tower.,,
csp-tower power block,2030,FOM,1.1,%/year,see solar-tower.,,2013.0
csp-tower power block,2030,investment,759.17,EUR/kW_e,ATB CSP data (https://atb.nrel.gov/electricity/2021/concentrating_solar_power) and NREL SAM v2021.12.2 (https://sam.nrel.gov/).,,2013.0
csp-tower power block,2030,lifetime,30.0,years,see solar-tower.,,
