osm_id,name,lon,lat,voltage_kv,operator,substation_type
403995047,,15.084430916666681,41.480137150002065,0.0,,minor_distribution
403995350,,15.040854422222209,41.49548856666692,0.0,,minor_distribution
404030687,,18.124300799999993,40.112196960000134,0.0,,minor_distribution
404030760,,18.12695443999999,40.12385264000197,0.0,,minor_distribution
404031197,,18.145050919999996,40.1234969000019,0.0,,minor_distribution
404031281,,18.140028080000018,40.11357616000031,0.0,,minor_distribution
404031603,,18.13534991999993,40.10811732000216,0.0,,minor_distribution
404031685,,18.16550444,40.112700980000184,0.0,,minor_distribution
404038917,,18.12350410000019,40.10687592000577,0.0,,minor_distribution
404039186,,18.10668166000006,40.12114584000295,0.0,,minor_distribution
404039394,,18.108030040000017,40.11914444000236,0.0,,minor_distribution
404039451,,18.12403044,40.11291432000047,0.0,,minor_distribution
404039675,,18.114858800000043,40.10588970000392,0.0,,minor_distribution
404039709,,18.11969706000004,40.107714880000884,0.0,,minor_distribution
404039899,,18.11536549999998,40.1102846400045,0.0,,minor_distribution
404040053,,18.11066825999997,40.11347094000071,0.0,,minor_distribution
404040089,,18.105512940000004,40.12349598000327,0.0,,minor_distribution
404040369,,18.11291950000001,40.1183017400021,0.0,,minor_distribution
404040550,,18.084087260000043,40.1057675600037,0.0,,minor_distribution
404040561,,18.109030559999958,40.1166646200016,0.0,,minor_distribution
404040789,,18.100925139999983,40.11252390000023,0.0,,minor_distribution
404041048,,18.120343816666686,40.10464438333457,0.0,,minor_distribution
404062685,,10.27965020000001,43.677185014285776,0.0,Enel,minor_distribution
404063211,,11.609725999999995,44.99188022000088,0.0,,minor_distribution
404063212,,11.612856240000001,44.99598278000234,0.0,,minor_distribution
404063214,,11.597618599999977,44.99096846000121,0.0,,minor_distribution
404063217,,11.651425959999944,45.002284540003934,0.0,,minor_distribution
404063218,,11.638172399999972,45.00087476000325,0.0,,minor_distribution
404063221,,11.643552379999967,44.99097472000177,0.0,,minor_distribution
404063222,,11.61162201999995,44.990997940002885,0.0,,minor_distribution
404063223,,11.624668019999927,44.98016160000151,0.0,,minor_distribution
404065533,,18.104087840000027,40.132126300000124,0.0,,minor_distribution
404065562,,18.111134380000028,40.13682158000229,0.0,,minor_distribution
404065826,,18.111867879999977,40.13126862000321,0.0,,minor_distribution
404065857,,18.11832276000004,40.13955420000218,0.0,,minor_distribution
404066016,,18.122808999999915,40.129155280001186,0.0,,minor_distribution
404066303,,18.101579460000018,40.13289024000087,0.0,,minor_distribution
404066512,,18.113236179999962,40.126460300000495,0.0,,minor_distribution
404066680,,18.101834379999925,40.12945422000172,0.0,,minor_distribution
404066709,,18.10133103999992,40.128237880000626,0.0,,minor_distribution
404073335,,11.615818319999999,45.03309190000183,0.0,,minor_distribution
404073336,,11.553493480000007,45.02841118000066,0.0,,minor_distribution
404073337,,11.58988306000001,45.027803800000406,0.0,,minor_distribution
404073339,,11.564832860000001,45.030969340001654,0.0,,minor_distribution
404073340,,11.573509480000018,45.006941480000066,0.0,,minor_distribution
404073342,,11.609483520000015,45.018527320000054,0.0,,minor_distribution
404073343,,11.589843800000013,45.02774202000036,0.0,,minor_distribution
404073344,,11.58917572,45.03049458000147,0.0,,minor_distribution
404073346,,11.587780740000028,45.02479812000024,0.0,,minor_distribution
404073347,,11.62311028000002,45.02728522000031,0.0,,minor_distribution
404077013,,17.998216520000007,40.26284835999999,0.0,,minor_distribution
404106579,,10.036224140000002,44.687920499999954,0.0,,
404108204,,15.0123088,41.51928128000011,0.0,,minor_distribution
404108367,,15.007919680000025,41.5303269800023,0.0,,minor_distribution
404108372,,15.007569680000032,41.529657880002325,0.0,,minor_distribution
404108432,,15.00601540000003,41.529470760002326,0.0,,minor_distribution
404108438,,15.003497639999972,41.52419528000055,0.0,,minor_distribution
404108534,,15.012387519999999,41.51928048000011,0.0,,minor_distribution
404112471,,14.979261480000014,41.56098152000212,0.0,,minor_distribution
404112594,,14.983627759999981,41.559650080001,0.0,,minor_distribution
