flowdate,market,hour,period,from,to,maxtransmissionlimitfrom,maxtransmissionlimitto,coefficient
20251220,MGP,2,8,NORD,SLOV,10000.0000,10000.0000,0.0000
20251220,MGP,2,8,NORD,SVIZ,10000.0000,10000.0000,0.0000
20251220,MGP,2,8,GREC,SUD,10000.0000,10000.0000,0.0000
20251220,MGP,2,8,FRAN,NORD,10000.0000,10000.0000,0.0000
20251220,MGP,2,8,CSUD,MONT,10000.0000,10000.0000,0.0000
20251220,MGP,2,8,CSUD,SARD,720.0000,870.0000,0.0000
20251220,MGP,2,8,CSUD,SUD,2400.0000,5506.0000,0.0000
20251220,MGP,2,8,COUP,NORD,10000.0000,10000.0000,0.0000
20251220,MGP,2,8,COUP,XAUS,165.0000,365.0000,0.0000
20251220,MGP,2,8,COUP,XFRA,2160.0000,4192.0000,0.0000
20251220,MGP,2,8,CORS,SARD,300.0000,300.0000,0.0000
20251220,MGP,2,8,COAC,SARD,20.0000,125.0000,0.0000
20251220,MGP,2,8,CNOR,CORS,300.0000,300.0000,0.0000
20251220,MGP,2,8,CNOR,CSUD,2019.0000,2799.0000,0.0000
20251220,MGP,2,8,CNOR,NORD,4527.0000,3042.0000,0.0000
20251220,MGP,2,8,CALA,SICI,1552.0000,1493.0000,0.0000
20251220,MGP,2,8,CALA,SUD,2350.0000,1606.0000,0.0000
20251220,MGP,2,8,BSP,COUP,649.0000,680.0000,0.0000
20251220,MGP,2,8,AUST,NORD,10000.0000,10000.0000,0.0000
20251220,MGP,3,9,AUST,NORD,10000.0000,10000.0000,0.0000
20251220,MGP,3,9,BSP,COUP,649.0000,680.0000,0.0000
20251220,MGP,3,9,CALA,SICI,1618.0000,1494.0000,0.0000
20251220,MGP,3,9,CALA,SUD,2350.0000,1646.0000,0.0000
20251220,MGP,3,9,CNOR,CORS,300.0000,300.0000,0.0000
20251220,MGP,3,9,CNOR,CSUD,2042.0000,2905.0000,0.0000
20251220,MGP,3,9,CNOR,NORD,4531.0000,3358.0000,0.0000
20251220,MGP,3,9,COAC,SARD,20.0000,125.0000,0.0000
20251220,MGP,3,9,CORS,SARD,300.0000,300.0000,0.0000
20251220,MGP,3,9,COUP,NORD,10000.0000,10000.0000,0.0000
20251220,MGP,3,9,COUP,XAUS,165.0000,365.0000,0.0000
20251220,MGP,3,9,COUP,XFRA,2160.0000,4192.0000,0.0000
20251220,MGP,3,9,CSUD,MONT,10000.0000,10000.0000,0.0000
20251220,MGP,3,9,CSUD,SARD,720.0000,870.0000,0.0000
20251220,MGP,3,9,CSUD,SUD,2400.0000,5598.0000,0.0000
20251220,MGP,3,9,FRAN,NORD,10000.0000,10000.0000,0.0000
20251220,MGP,3,9,GREC,SUD,10000.0000,10000.0000,0.0000
20251220,MGP,3,9,NORD,SLOV,10000.0000,10000.0000,0.0000
20251220,MGP,3,9,NORD,SVIZ,10000.0000,10000.0000,0.0000
20251220,MGP,3,9,SUD,XGRE,500.0000,500.0000,0.0000
20251220,MGP,3,9,MALT,SICI,225.0000,225.0000,0.0000
20251220,MGP,3,10,MALT,SICI,225.0000,225.0000,0.0000
20251220,MGP,3,10,SUD,XGRE,500.0000,500.0000,0.0000
20251220,MGP,3,10,NORD,SLOV,10000.0000,10000.0000,0.0000
20251220,MGP,3,10,NORD,SVIZ,10000.0000,10000.0000,0.0000
20251220,MGP,3,10,GREC,SUD,10000.0000,10000.0000,0.0000
20251220,MGP,3,10,FRAN,NORD,10000.0000,10000.0000,0.0000
20251220,MGP,3,10,CSUD,MONT,10000.0000,10000.0000,0.0000
20251220,MGP,3,10,CSUD,SARD,720.0000,870.0000,0.0000
20251220,MGP,3,10,CSUD,SUD,2400.0000,5598.0000,0.0000
20251220,MGP,3,10,COUP,NORD,10000.0000,10000.0000,0.0000
20251220,MGP,3,10,COUP,XAUS,165.0000,365.0000,0.0000
20251220,MGP,3,10,COUP,XFRA,2160.0000,4192.0000,0.0000
20251220,MGP,3,10,CORS,SARD,300.0000,300.0000,0.0000
