flowdate,hour,period,market,from,to,transit
20251230,3,9,MGP,BSP,COUP,-818.0000
20251230,3,9,MGP,CALA,SICI,1037.1000
20251230,3,9,MGP,CALA,SUD,-809.7000
20251230,3,9,MGP,CNOR,CORS,0.0000
20251230,3,9,MGP,CNOR,CSUD,97.7000
20251230,3,9,MGP,CNOR,NORD,-687.9000
20251230,3,9,MGP,COUP,XAUS,165.0000
20251230,3,9,MGP,COUP,XFRA,-2903.0000
20251230,3,9,MGP,CSUD,MONT,-432.0000
20251230,3,9,MGP,CSUD,SARD,-139.9000
20251230,3,9,MGP,CSUD,SUD,-772.1000
20251230,3,9,MGP,NORD,AUST,0.0000
20251230,3,9,MGP,NORD,COUP,-1920.0000
20251230,3,9,MGP,NORD,FRAN,0.0000
20251230,3,9,MGP,NORD,SLOV,0.0000
20251230,3,9,MGP,NORD,SVIZ,-823.0000
20251230,3,9,MGP,SARD,COAC,94.0000
20251230,3,9,MGP,SARD,CORS,40.0000
20251230,3,9,MGP,SICI,MALT,89.0000
20251230,3,9,MGP,SUD,GREC,0.0000
20251230,3,9,MGP,SUD,XGRE,-500.0000
20251230,3,10,MGP,SUD,XGRE,-500.0000
20251230,3,10,MGP,SUD,GREC,0.0000
20251230,3,10,MGP,SICI,MALT,87.0000
20251230,3,10,MGP,SARD,CORS,40.0000
20251230,3,10,MGP,SARD,COAC,94.0000
20251230,3,10,MGP,NORD,SVIZ,-824.0000
20251230,3,10,MGP,NORD,SLOV,0.0000
20251230,3,10,MGP,NORD,FRAN,0.0000
20251230,3,10,MGP,NORD,COUP,-1920.0000
20251230,3,10,MGP,NORD,AUST,0.0000
20251230,3,10,MGP,CSUD,SUD,-781.6000
20251230,3,10,MGP,CSUD,SARD,-149.7000
20251230,3,10,MGP,CSUD,MONT,-432.0000
20251230,3,10,MGP,COUP,XFRA,-2903.0000
20251230,3,10,MGP,COUP,XAUS,165.0000
20251230,3,10,MGP,CNOR,NORD,-723.3000
20251230,3,10,MGP,CNOR,CSUD,135.9000
20251230,3,10,MGP,CNOR,CORS,0.0000
20251230,3,10,MGP,CALA,SUD,-790.2000
20251230,3,10,MGP,CALA,SICI,1026.3000
20251230,3,10,MGP,BSP,COUP,-818.0000
20251230,3,11,MGP,BSP,COUP,-818.0000
20251230,3,11,MGP,CALA,SICI,1031.6000
20251230,3,11,MGP,CALA,SUD,-794.8000
20251230,3,11,MGP,CNOR,CORS,0.0000
20251230,3,11,MGP,CNOR,CSUD,182.7000
20251230,3,11,MGP,CNOR,NORD,-763.1000
20251230,3,11,MGP,COUP,XAUS,165.0000
20251230,3,11,MGP,COUP,XFRA,-2903.0000
20251230,3,11,MGP,CSUD,MONT,-432.0000
20251230,3,11,MGP,CSUD,SARD,-154.1000
20251230,3,11,MGP,CSUD,SUD,-751.2000
20251230,3,11,MGP,NORD,AUST,0.0000
20251230,3,11,MGP,NORD,COUP,-1920.0000
20251230,3,11,MGP,NORD,FRAN,0.0000
